Iteration 188 	 Th1: 27 Th2: 606
Iteration 189 	 Th1: 27 Th2: 611
Iteration 190 	 Th1: 27 Th2: 612
Iteration 191 	 Th1: 27 Th2: 614
Iteration 192 	 Th1: 27 Th2: 620
Iteration 193 	 Th1: 28 Th2: 633
Iteration 194 	 Th1: 28 Th2: 634
Iteration 195 	 Th1: 29 Th2: 636
Iteration 196 	 Th1: 29 Th2: 642
Iteration 197 	 Th1: 29 Th2: 648
Iteration 198 	 Th1: 29 Th2: 655
Iteration 199 	 Th1: 29 Th2: 656
Iteration 200 	 Th1: 29 Th2: 658
Iteration 201 	 Th1: 29 Th2: 664
Iteration 202 	 Th1: 29 Th2: 673
Iteration 203 	 Th1: 29 Th2: 674
Iteration 204 	 Th1: 29 Th2: 681
Iteration 205 	 Th1: 30 Th2: 691
Iteration 206 	 Th1: 30 Th2: 692
Iteration 207 	 Th1: 32 Th2: 693
Iteration 208 	 Th1: 32 Th2: 694
Iteration 209 	 Th1: 32 Th2: 695
Iteration 210 	 Th1: 34 Th2: 696
Iteration 211 	 Th1: 34 Th2: 697
Iteration 212 	 Th1: 36 Th2: 698
Iteration 213 	 Th1: 36 Th2: 699
Iteration 214 	 Th1: 36 Th2: 700
Iteration 215 	 Th1: 36 Th2: 701
Iteration 216 	 Th1: 36 Th2: 702
Iteration 217 	 Th1: 36 Th2: 703
Iteration 218 	 Th1: 37 Th2: 704
Iteration 219 	 Th1: 37 Th2: 705
Iteration 220 	 Th1: 38 Th2: 706
Iteration 221 	 Th1: 38 Th2: 707
Iteration 222 	 Th1: 40 Th2: 708
Iteration 223 	 Th1: 40 Th2: 709
Iteration 224 	 Th1: 41 Th2: 710
Iteration 225 	 Th1: 42 Th2: 711
Iteration 226 	 Th1: 42 Th2: 712
Iteration 227 	 Th1: 42 Th2: 713
Iteration 228 	 Th1: 42 Th2: 716
Iteration 229 	 Th1: 42 Th2: 717
Iteration 230 	 Th1: 43 Th2: 718
Iteration 231 	 Th1: 43 Th2: 720
Iteration 232 	 Th1: 44 Th2: 726
Iteration 233 	 Th1: 44 Th2: 734
Iteration 234 	 Th1: 44 Th2: 740
Iteration 235 	 Th1: 44 Th2: 749
Iteration 236 	 Th1: 44 Th2: 750
Iteration 237 	 Th1: 45 Th2: 751
Iteration 238 	 Th1: 45 Th2: 752
Iteration 239 	 Th1: 45 Th2: 753
Iteration 240 	 Th1: 45 Th2: 754
Iteration 241 	 Th1: 45 Th2: 759
Iteration 242 	 Th1: 45 Th2: 769
Iteration 243 	 Th1: 46 Th2: 770
Iteration 244 	 Th1: 46 Th2: 781
Iteration 245 	 Th1: 46 Th2: 786
Iteration 246 	 Th1: 46 Th2: 787
Iteration 247 	 Th1: 46 Th2: 788
Iteration 248 	 Th1: 46 Th2: 789
Iteration 249 	 Th1: 46 Th2: 791
Iteration 250 	 Th1: 46 Th2: 794
Iteration 251 	 Th1: 46 Th2: 796
Iteration 252 	 Th1: 46 Th2: 797
Iteration 253 	 Th1: 46 Th2: 798
Iteration 254 	 Th1: 46 Th2: 801
